광역시도,시군구,20-39세계,20-39세남자,20-39세여자,65세이상계,65세이상남자,65세이상여자,인구수계,인구수남자,인구수여자,소멸비율,소멸위기지역,소멸위기고위험지역
부산광역시,금정구,59641,31634,28008,47025,20504,26522,233506,114217,119289,0.5955980861244019,False,False
부산광역시,기장군,41060,20934,20127,26315,11238,15078,168798,83578,85221,0.764848945468364,False,False
부산광역시,남구,66626,34740,31886,51966,22702,29265,268383,131538,136846,0.6135935034445599,False,False
부산광역시,동구,20553,10754,9801,22185,9268,12918,86801,42646,44156,0.4417849898580122,True,False
부산광역시,동래구,66293,34017,32277,47578,21116,26462,268387,130808,137579,0.6784017823363739,False,False
부산광역시,부산진구,99361,49817,49546,67325,29107,38219,354108,171332,182776,0.7359227627181582,False,False
부산광역시,북구,72717,38408,34310,47158,20873,26286,285666,141393,144273,0.7275541795665634,False,False
부산광역시,사상구,55276,29596,25681,37178,16607,20572,213286,107659,105628,0.6907579751465921,False,False
부산광역시,사하구,78920,42036,36886,56959,25301,31658,313486,156182,157305,0.6475886163731807,False,False
부산광역시,서구,24756,12512,12244,25915,10990,14926,105948,51485,54464,0.4724676828091839,True,False
부산광역시,수영구,47944,23732,24212,36166,15676,20492,174591,82665,91926,0.6694685616324725,False,False
부산광역시,연제구,53627,27091,26538,38595,17061,21535,207199,99974,107225,0.6876020209871745,False,False
부산광역시,영도구,23103,12545,10558,30089,12785,17305,113043,55798,57245,0.3508923526870285,True,False
부산광역시,중구,10011,5197,4814,10430,4454,5978,40446,19836,20610,0.46155321188878234,True,False
부산광역시,해운대구,96706,48924,47782,67224,28833,38391,400015,192805,207210,0.7107878138759967,False,False
서울특별시,강남구,156053,73037,83016,70008,31534,38476,530126,253755,276372,1.1858073363044224,False,False
서울특별시,강동구,129061,64443,64619,65025,29705,35322,441733,217560,224173,0.993756247597078,False,False
서울특별시,강북구,82271,41772,40500,60093,25845,34248,305512,148977,156535,0.6739553691777744,False,False
서울특별시,강서구,187063,91396,95668,84457,37262,47195,579138,279976,299163,1.1327421054501108,False,False
서울특별시,관악구,194638,100403,94236,74422,33261,41162,489799,245687,244112,1.266238477869447,False,False
서울특별시,광진구,118572,57257,61316,47428,21267,26161,343783,166230,177554,1.2928228050940374,False,False
서울특별시,구로구,118714,59478,59236,65807,29976,35832,400915,197916,202999,0.9001474007324449,False,False
서울특별시,금천구,71700,38053,33649,37128,16891,20237,228342,115594,112748,0.9062971342383107,False,False
서울특별시,노원구,138920,70420,68501,81587,34379,47209,522235,252410,269826,0.8396068001029576,False,False
서울특별시,도봉구,85633,43763,41870,59158,26482,32676,325050,158708,166343,0.7077656445451165,False,False
서울특별시,동대문구,105551,53695,51858,58129,25861,32269,337801,167564,170237,0.892119252008464,False,False
서울특별시,동작구,128785,63797,64988,61506,26834,34672,387859,187886,199973,1.0566123630214939,False,False
서울특별시,마포구,125017,58053,66965,50654,21240,29414,365392,172413,192979,1.3220081336123504,False,False
서울특별시,서대문구,93510,45754,47757,50450,21375,29076,304074,145927,158147,0.9466204162537165,False,False
서울특별시,서초구,119306,56033,63275,56204,25499,30706,419614,200823,218791,1.1258095509216426,False,False
서울특별시,성동구,94648,46710,47938,42932,18745,24188,291841,142673,149168,1.1166030000931706,False,False
서울특별시,성북구,126470,62065,64406,69512,29933,39580,432206,209002,223205,0.9265450569685809,False,False
서울특별시,송파구,205917,98737,107181,87862,40617,47246,662838,320336,342502,1.2198789010038469,False,False
서울특별시,양천구,118257,59328,58930,62000,27817,34184,450971,221368,229603,0.9504838709677419,False,False
서울특별시,영등포구,124515,61671,62844,56298,25413,30885,366258,181332,184926,1.1162741127571139,False,False
서울특별시,용산구,70034,34333,35703,35173,15055,20119,219404,106237,113167,1.0150683763113753,False,False
서울특별시,은평구,134477,65991,68486,79998,34661,45339,471906,227029,244877,0.8560964024100602,False,False
서울특별시,종로구,43061,21327,21736,25597,11361,14236,144866,70613,74253,0.8491620111731844,False,False
서울특별시,중구,38455,18864,19592,21878,9600,12279,121520,59536,61984,0.8955114727123138,False,False
서울특별시,중랑구,114135,57895,56241,65636,29406,36232,390233,193106,197128,0.8568620878786032,False,False
세종특별자치시,세종시,98167,48592,49576,33147,14378,18771,347070,173130,173940,1.4956406311280055,False,False
울산광역시,남구,88708,48254,40457,37419,17197,20223,319908,162963,156945,1.0811887009273364,False,False
울산광역시,동구,42035,23338,18698,18893,9071,9823,157346,82169,75177,0.9896787169851268,False,False
울산광역시,북구,62807,33772,29036,17149,7597,9552,217825,112644,105181,1.6931599510175521,False,False
울산광역시,울주군,52979,29036,23945,31575,13989,17587,221860,114482,107379,0.7583531274742676,False,False
울산광역시,중구,54835,29638,25197,31785,14181,17605,219176,111093,108083,0.7927324209532799,False,False
인천광역시,강화군,10815,5959,4857,22228,10006,12222,68662,34390,34273,0.2185081878711535,True,False
인천광역시,계양구,83391,43439,39952,36088,15795,20294,297386,148266,149120,1.107071602748836,False,False
인천광역시,남동구,145481,74883,70599,68239,29567,38672,524803,260553,264250,1.0345843286097394,False,False
