광역시도,시군구,행정구,구분,인구수,0 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80세 이상,80 - 84세,85세 이상,85 - 89세,90 - 94세,95 - 99세,100세 이상
전라남도, 화순군,,계,62182 ,1462 ,2115 ,2544 ,3320 ,3810 ,2983 ,2107 ,2710 ,3467 ,4914 ,5473 ,5655 ,5210 ,3836 ,3646 ,3822 ,5112 ,3028 ,2084 ,1480 ,480 ,110 ,14 
전라남도, 화순군,,남자,30773 ,734 ,1087 ,1341 ,1714 ,2064 ,1615 ,1093 ,1360 ,1760 ,2631 ,3000 ,3078 ,2776 ,1941 ,1642 ,1424 ,1517 ,977 ,541 ,400 ,118 ,23 ,1 
전라남도, 화순군,,여자,31409 ,728 ,1028 ,1203 ,1606 ,1746 ,1368 ,1014 ,1351 ,1708 ,2284 ,2474 ,2577 ,2434 ,1895 ,2004 ,2399 ,3595 ,2052 ,1543 ,1081 ,362 ,87 ,14 
전라남도, 장흥군,,계,37859 ,882 ,1172 ,1261 ,1652 ,1775 ,1403 ,1248 ,1624 ,1749 ,2434 ,2973 ,3387 ,3569 ,2821 ,2760 ,2741 ,4411 ,2457 ,1955 ,1354 ,476 ,115 ,11 
전라남도, 장흥군,,남자,18382 ,466 ,589 ,668 ,862 ,996 ,764 ,640 ,891 ,979 ,1340 ,1667 ,1766 ,1801 ,1384 ,1218 ,1086 ,1269 ,809 ,460 ,347 ,93 ,20 ,1 
전라남도, 장흥군,,여자,19477 ,416 ,583 ,594 ,790 ,779 ,639 ,608 ,733 ,771 ,1095 ,1306 ,1622 ,1768 ,1437 ,1542 ,1656 ,3142 ,1648 ,1495 ,1007 ,383 ,95 ,10 
전라남도, 강진군,,계,34648 ,821 ,1037 ,1193 ,1400 ,1615 ,1299 ,1120 ,1412 ,1591 ,2197 ,2551 ,3138 ,3398 ,2642 ,2669 ,2599 ,3971 ,2327 ,1644 ,1162 ,403 ,74 ,7 
전라남도, 강진군,,남자,16711 ,393 ,533 ,607 ,721 ,905 ,719 ,562 ,735 ,876 ,1242 ,1428 ,1621 ,1730 ,1275 ,1204 ,1022 ,1141 ,776 ,365 ,275 ,74 ,16 ,1 
전라남도, 강진군,,여자,17937 ,429 ,504 ,586 ,679 ,710 ,580 ,558 ,677 ,715 ,955 ,1123 ,1517 ,1668 ,1367 ,1465 ,1577 ,2830 ,1551 ,1279 ,887 ,329 ,58 ,6 
전라남도, 해남군,,계,69000 ,2063 ,2135 ,2469 ,2964 ,3204 ,2427 ,2298 ,2978 ,3560 ,4574 ,5383 ,6258 ,6746 ,5259 ,5088 ,5001 ,6598 ,3911 ,2687 ,1898 ,621 ,149 ,20 
전라남도, 해남군,,남자,34053 ,1077 ,1037 ,1274 ,1551 ,1790 ,1343 ,1186 ,1544 ,1978 ,2647 ,3036 ,3382 ,3442 ,2512 ,2387 ,1954 ,1917 ,1316 ,601 ,459 ,123 ,19 ,0 
전라남도, 해남군,,여자,34947 ,986 ,1098 ,1195 ,1413 ,1414 ,1084 ,1113 ,1434 ,1583 ,1927 ,2347 ,2876 ,3304 ,2747 ,2701 ,3047 ,4681 ,2595 ,2086 ,1439 ,498 ,130 ,20 
전라남도, 영암군,,계,53651 ,1724 ,2020 ,2073 ,2498 ,2863 ,2191 ,2020 ,2990 ,3309 ,4143 ,4561 ,4765 ,4419 ,3333 ,3143 ,3176 ,4428 ,2576 ,1852 ,1352 ,403 ,89 ,9 
전라남도, 영암군,,남자,27599 ,865 ,1017 ,1085 ,1355 ,1629 ,1252 ,1063 ,1694 ,1966 ,2453 ,2670 ,2662 ,2335 ,1619 ,1415 ,1215 ,1308 ,841 ,468 ,372 ,77 ,17 ,2 
전라남도, 영암군,,여자,26052 ,859 ,1003 ,988 ,1144 ,1234 ,940 ,957 ,1296 ,1344 ,1690 ,1891 ,2103 ,2084 ,1714 ,1728 ,1961 ,3120 ,1735 ,1385 ,980 ,326 ,72 ,7 
전라남도, 무안군,,계,83168 ,2929 ,4584 ,4595 ,4416 ,4612 ,3844 ,3831 ,5948 ,6331 ,6604 ,6330 ,6230 ,5837 ,4596 ,4087 ,3747 ,4652 ,2723 ,1929 ,1342 ,475 ,95 ,18 
전라남도, 무안군,,남자,41747 ,1516 ,2329 ,2343 ,2250 ,2530 ,2037 ,1974 ,3013 ,3273 ,3612 ,3499 ,3403 ,2950 ,2255 ,1952 ,1494 ,1320 ,873 ,447 ,353 ,87 ,7 ,2 
전라남도, 무안군,,여자,41421 ,1413 ,2255 ,2253 ,2166 ,2082 ,1807 ,1857 ,2936 ,3058 ,2992 ,2831 ,2827 ,2887 ,2341 ,2135 ,2253 ,3332 ,1850 ,1482 ,989 ,388 ,88 ,17 
전라남도, 함평군,,계,32098 ,633 ,812 ,913 ,1203 ,1427 ,1165 ,977 ,1187 ,1449 ,2069 ,2544 ,2991 ,3188 ,2566 ,2521 ,2669 ,3790 ,2261 ,1529 ,1065 ,368 ,88 ,9 
전라남도, 함평군,,남자,16105 ,335 ,416 ,476 ,650 ,813 ,711 ,533 ,646 ,842 ,1261 ,1549 ,1673 ,1718 ,1244 ,1151 ,999 ,1091 ,720 ,371 ,266 ,94 ,12 ,0 
전라남도, 함평군,,여자,15994 ,298 ,396 ,437 ,553 ,614 ,454 ,444 ,541 ,608 ,808 ,995 ,1318 ,1470 ,1322 ,1370 ,1670 ,2699 ,1541 ,1158 ,799 ,274 ,77 ,9 
전라남도, 영광군,,계,52970 ,2001 ,1779 ,1994 ,2283 ,2683 ,2405 ,2283 ,2622 ,2905 ,3694 ,4062 ,4501 ,4565 ,3669 ,3585 ,3557 ,4385 ,2659 ,1726 ,1197 ,402 ,105 ,22 
전라남도, 영광군,,남자,26446 ,1021 ,907 ,1024 ,1196 ,1527 ,1305 ,1184 ,1380 ,1642 ,2111 ,2309 ,2402 ,2368 ,1750 ,1638 ,1399 ,1288 ,867 ,422 ,320 ,91 ,11 ,1 
전라남도, 영광군,,여자,26525 ,980 ,872 ,971 ,1087 ,1157 ,1101 ,1099 ,1243 ,1264 ,1584 ,1753 ,2100 ,2198 ,1919 ,1947 ,2159 ,3097 ,1793 ,1304 ,878 ,311 ,95 ,21 
전라남도, 장성군,,계,44715 ,1358 ,1576 ,1563 ,1810 ,2126 ,2364 ,1636 ,2173 ,2448 ,3139 ,3523 ,3975 ,3918 ,3084 ,2991 ,2953 ,4081 ,2391 ,1690 ,1211 ,380 ,85 ,15 
전라남도, 장성군,,남자,22983 ,695 ,790 ,820 ,967 ,1203 ,1476 ,854 ,1166 ,1394 ,1829 ,2064 ,2218 ,2116 ,1532 ,1413 ,1196 ,1256 ,808 ,448 ,340 ,89 ,18 ,2 
전라남도, 장성군,,여자,21732 ,663 ,786 ,743 ,844 ,924 ,889 ,783 ,1008 ,1054 ,1311 ,1459 ,1757 ,1802 ,1552 ,1579 ,1758 ,2825 ,1583 ,1242 ,871 ,291 ,67 ,13 
전라남도, 완도군,,계,50007 ,1465 ,1788 ,1730 ,1984 ,2105 ,1695 ,1694 ,2487 ,2830 ,3375 ,3747 ,4422 ,4665 ,3736 ,3725 ,3745 ,4819 ,2909 ,1910 ,1371 ,417 ,107 ,16 
전라남도, 완도군,,남자,25134 ,749 ,927 ,886 ,1029 ,1224 ,995 ,906 ,1385 ,1648 ,1986 ,2179 ,2308 ,2356 ,1834 ,1743 ,1531 ,1451 ,988 ,463 ,370 ,81 ,11 ,2 
